orig	orig_type	dest	dest_type	int
STK3	gvirus	RASSF1	gcancer	cov2
BRD4	gvirus	TP53	gcancer	cov2
CSNK2B	gvirus	TP53	gcancer	cov2
GDF15	gvirus	TP53	gcancer	cov2
TRIM32	gvirus	TP53	gcancer	cov2
NUP214	gvirus	MDM2	gcancer	cov2
AATF	gvirus	RB1	gcancer	cov2
RHOA	gvirus	MYC	gcancer	cov2
BRD4	gvirus	MYC	gcancer	cov2
RHOA	gvirus	PTEN	gcancer	cov2
CSNK2B	gvirus	PTEN	gcancer	cov2
USP13	gvirus	PTEN	gcancer	cov2
PMPCA	gvirus	PTEN	gcancer	cov2
DNMT1	gvirus	RASSF1	gcancer	cov2
DNMT1	gvirus	TP53	gcancer	cov2
HMOX1	gvirus	TP53	gcancer	cov2
RAE1	gvirus	MDM2	gcancer	cov2
NUP210	gvirus	MDM2	gcancer	cov2
NUP54	gvirus	MDM2	gcancer	cov2
POLA1	gvirus	RB1	gcancer	cov2
PRIM1	gvirus	RB1	gcancer	cov2
DNMT1	gvirus	RB1	gcancer	cov2
POLA2	gvirus	RB1	gcancer	cov2
DNMT1	gvirus	MYC	gcancer	cov2
ITGB1	gvirus	KIT	gcancer	cov2
SLC9A3R1	gvirus	PTEN	gcancer	cov2
DNMT1	gvirus	PTEN	gcancer	cov2
ITGB1	gvirus	PTEN	gcancer	cov2
PTPN13	gvirus	PTEN	gcancer	cov2
STK4	gvirus	RASSF1	gcancer	cov2
SAV1	gvirus	RASSF1	gcancer	cov2
DNA2	gvirus	TP53	gcancer	cov2
SIRT5	gvirus	TP53	gcancer	cov2
UBE3A	gvirus	TP53	gcancer	cov2
TRIM59	gvirus	TP53	gcancer	cov2
HDAC2	gvirus	TP53	gcancer	cov2
MOV10	gvirus	TP53	gcancer	cov2
PSMD8	gvirus	TP53	gcancer	cov2
CSNK2A2	gvirus	TP53	gcancer	cov2
NUP88	gvirus	MDM2	gcancer	cov2
NUP62	gvirus	MDM2	gcancer	cov2
MOV10	gvirus	MDM2	gcancer	cov2
HDAC2	gvirus	RB1	gcancer	cov2
MOV10	gvirus	CCND2	gcancer	cov2
MOV10	gvirus	MYC	gcancer	cov2
TLE1	gvirus	MYC	gcancer	cov2
NDUFAF2	gvirus	MYC	gcancer	cov2
UBE3A	gvirus	PTEN	gcancer	cov2
MOV10	gvirus	PTEN	gcancer	cov2
PSMD8	gvirus	PTEN	gcancer	cov2
CSNK2A2	gvirus	PTEN	gcancer	cov2
